date,avg_total_steps,avg_total_calories,avg_very_active_mins,avg_fairly_active_mins,avg_lighly_active_mins,avg_sedentary_mins,avg_total_mins_asleep,total_mins_in_bed
2016-04-12,7981.151219512195,2364.448780487805,25.96829268292683,8.551219512195122,173.3,899.5975609756098,418.71144278606965,458.2487562189055
2016-04-13,6751.512195121952,2234.3536585365855,18.514634146341464,12.853658536585366,163.9121951219512,863.060975609756,418.71144278606965,458.2487562189055
2016-04-14,7771.151219512195,2388.980487804878,27.25609756097561,15.8,192.890243902439,849.0682926829269,418.71144278606965,458.2487562189055
2016-04-15,8761.78780487805,2421.1,22.73170731707317,16.495121951219513,229.1439024390244,805.8414634146342,418.71144278606965,458.2487562189055
2016-04-16,8740.451219512195,2398.1170731707316,30.858536585365854,18.270731707317072,205.4878048780488,781.329268292683,418.71144278606965,458.2487562189055
2016-04-17,5424.707317073171,2146.529268292683,18.59512195121951,13.892682926829268,145.3658536585366,880.3170731707318,418.71144278606965,458.2487562189055
2016-04-18,8012.073170731707,2360.0780487804877,29.86341463414634,21.23170731707317,174.61951219512196,918.1829268292682,418.71144278606965,458.2487562189055
2016-04-19,9174.458536585365,2430.0634146341463,34.37073170731707,20.804878048780488,199.70243902439023,800.409756097561,418.71144278606965,458.2487562189055
2016-04-20,8502.990243902439,2386.1048780487804,26.34390243902439,19.097560975609756,206.18780487804878,786.6219512195122,418.71144278606965,458.2487562189055
2016-04-21,8575.639024390244,2487.7609756097563,30.18780487804878,17.680487804878048,178.10487804878048,859.5146341463415,418.71144278606965,458.2487562189055
2016-04-22,8065.4292682926825,2383.5,31.89512195121951,17.153658536585365,195.9780487804878,863.8536585365854,418.71144278606965,458.2487562189055
2016-04-23,9520.460975609756,2425.4853658536585,16.465853658536584,20.84390243902439,261.4780487804878,746.4317073170731,418.71144278606965,458.2487562189055
2016-04-24,7165.392682926829,2270.787804878049,21.224390243902437,18.678048780487806,185.4170731707317,765.2512195121951,418.71144278606965,458.2487562189055
2016-04-25,8772.495121951219,2398.4463414634147,34.12682926829268,14.504878048780487,199.81951219512194,861.2878048780487,418.71144278606965,458.2487562189055
2016-04-26,8987.40975609756,2372.9634146341464,25.529268292682925,19.970731707317075,212.7,839.6170731707317,418.71144278606965,458.2487562189055
2016-04-27,8728.536585365853,2350.817073170732,19.71219512195122,14.43170731707317,222.44390243902438,793.8341463414635,418.71144278606965,458.2487562189055
2016-04-28,8411.831707317073,2361.4243902439025,24.21951219512195,13.107317073170732,216.37560975609756,775.7073170731708,418.71144278606965,458.2487562189055
2016-04-29,8198.39512195122,2349.7292682926827,18.641463414634146,14.61951219512195,237.7439024390244,796.6341463414634,418.71144278606965,458.2487562189055
2016-04-30,8526.306329113924,2425.46582278481,27.52151898734177,20.463291139240507,217.18481012658228,739.9822784810127,417.6227390180878,456.96640826873386
2016-05-01,6875.771573604061,2264.931472081218,26.634517766497463,13.449238578680204,175.16497461928935,769.256345177665,417.6227390180878,456.96640826873386
2016-05-02,8702.473282442748,2383.3460559796436,23.346055979643765,22.348600508905854,218.86259541984734,836.3104325699745,417.6227390180878,456.96640826873386
2016-05-03,9565.455470737914,2496.6437659033077,30.653944020356235,17.910941475826974,228.19847328244273,831.5368956743002,417.6227390180878,456.96640826873386
2016-05-04,7742.025445292621,2298.671755725191,14.195928753180661,17.18320610687023,208.04325699745547,844.0356234096693,417.6227390180878,456.96640826873386
2016-05-05,9651.211195928754,2438.038167938931,23.129770992366414,20.755725190839694,237.4936386768448,852.8066157760815,417.6227390180878,456.96640826873386
2016-05-06,7860.386768447837,2347.6081424936388,22.27735368956743,13.531806615776082,212.80407124681935,855.5318066157761,417.6227390180878,456.96640826873386
2016-05-07,7774.256997455471,2262.9541984732823,15.012722646310433,20.559796437659035,201.62849872773538,825.9770992366413,417.6227390180878,456.96640826873386
2016-05-08,7207.190721649485,2223.592783505155,14.54639175257732,24.128865979381445,177.4664948453608,779.5644329896908,419.9842931937173,459.67539267015707
2016-05-09,9079.327319587628,2365.634020618557,25.079896907216494,21.201030927835053,217.3762886597938,809.1958762886597,419.9842931937173,459.67539267015707
2016-05-10,9337.351351351352,2393.7216216216216,32.413513513513514,26.913513513513514,194.93513513513514,765.6297297297298,417.0769230769231,457.17857142857144
2016-05-11,7516.387005649717,2155.737288135593,23.098870056497177,14.878531073446327,192.60169491525423,653.8813559322034,416.27793696275074,457.32378223495704
